file,seconds,tracks,drum_stems,bass_stems,synth_stems,acoustic_stems,other_stems,synth_note_share,sha256
track_000001.mid,316.2,9,5,2,2,0,0,0.376,034198124f366e964351cfe5ecdd79428aa144968e0c2bd5d471a52876d434c2
track_000002.mid,400.8,13,3,2,2,1,4,0.0,038dc1f4a201656960f1ad7600a8b79e04e41b482d369dbd498e7724543916dd
track_000003.mid,359.9,39,8,2,5,2,9,0.281,04fb603c0cb3e8155c04e98e19d944c6b6c91a37058a416ccc3040f35fef27eb
track_000004.mid,185.5,19,2,1,1,2,7,0.0,06bcb5d3289b45fe65158228e82a2606f77f1ff79e825e72be21f8a9f9657846
track_000005.mid,513.8,48,8,3,16,3,8,0.54,07345fb12378a1a72f90ebaf98e56bb591160d60ae8fbda5d055011766678a74
track_000006.mid,496.6,22,1,2,1,2,11,0.02,0d4cfd3434e69756f4baf96032276e9c6f7b9efa9ba73ec24dea2c43dc517e6c
track_000007.mid,183.9,13,1,3,6,1,2,0.392,0e2137373fdb6aa235cc86c55e44b57f0f5b7409c91ba29ba39ac91ff9357bbb
track_000008.mid,234.7,5,1,1,3,0,0,1.0,104e1e1b659445cbc284dee0d5d34e36eed99f221170403071a1fb49a864e142
track_000009.mid,532.5,14,2,1,9,0,2,0.256,10a264e24506185d6fcf162d7df3b381452f91451d33f06bcf8de803cac716e3
track_000010.mid,193.6,16,3,2,5,0,5,0.309,11d80aad2b1b6e12edcb1c9571dcf0802fc083307e3a0acc432d6fd9e3cf62f1
track_000011.mid,195.4,18,3,2,9,0,0,0.874,13ad482175b32543536273b25d73c6ae188cfd1c733d95c2415e20727b1434a4
track_000012.mid,496.0,8,1,1,5,0,0,0.859,150be63cef8a5b9753f0a21ffe1bec558bd2a0aa2d0d77e24972c79b5ebeeec6
track_000013.mid,420.5,12,1,1,10,0,0,1.0,245cf27a349125524304a34def6b3df5b64fdc914400c4aabb13a2a537054a44
track_000014.mid,337.9,12,5,1,2,2,2,0.058,185d91e044e55c751d824b1522a8fca31124d4f15919371348a505a0c6c8035a
track_000015.mid,825.4,23,2,1,8,1,10,0.473,1c1db3aeffc0b98a6700a7844d3758a855a22e8fba51e3088883a0f87a1cdbd9
track_000016.mid,785.2,13,1,1,6,1,3,0.546,1d7320c311b2789c0a54bcbf34ed09a212ba44500927bf435d65d60df8fa4d2b
track_000017.mid,267.1,12,5,1,2,1,3,0.273,1dce5acda75e9234eb53215c62319c61a403785e323f3ca73e9ee698ea2d883c
