file,folder,qualifies,seconds,drum_stems,bass_stems,synth_stems,acoustic_stems,synth_note_share,sha256
A Funeral Of Flowers Rearrangement-01.mid,accepted,no,179.6,1,4,0,0,0.344,9026a079bc816627b2f04df37619c1e0b4454de3eba5dbc50c277dcc743c350c
A-01.mid,accepted,no,286.8,1,1,0,5,0.0,ce385d63aea5f31cc6e2f63977dd78b5b1f9ae941b3cd6c8c871fcf8594b5395
Above and Beyond-01.mid,accepted,no,160.6,0,0,0,7,0.0,5ac70d0fb9523501dee83dc404eef2a43eba6c995995e532091e3a4f8804c5bd
Alone-01.mid,accepted,no,257.1,1,0,0,0,0.0,0418e6f20887a9e2ce522c1ebd3d9e06a9081c44cd123ce712ebc5f21d5a4ca6
alpha-01.mid,accepted,yes,328.9,1,2,13,0,0.656,517fd538a45b360ee0196c7880a686e6224572eb24d7fd027beefd0d4f4bc803
AndrogynosVAVB-01.mid,accepted,no,286.6,4,0,3,0,0.33,b5e504e1a50fccde00a26a64405391d7fd664ddf5d5f8c46a51bb413e6bfac00
Attack of the Killer Queen-01.mid,accepted,no,120.2,0,0,0,3,0.0,14cf40c95dc29b7ecc8c85d61514a23621efca40edc7b1822acef8c74517184d
Audio Video Disco-01.mid,accepted,yes,297.5,1,1,4,0,0.421,e441b5644032fefb9395f302bd1a7901f379669354b8ea11b9d23c5e4940485f
Avril-01.mid,accepted,no,297.8,4,1,0,3,0.0,603fd7f351978235a148e2f2449ab973723028614efe345726942640459e0873
b minor-01.mid,accepted,no,175.0,0,0,0,4,0.0,71d78a01ae2d6d3b01c8eacb47aa7e57b648d2b21b9de0f2df4c9f14e5d83943
Ballade Pour Adeline-01.mid,accepted,yes,337.1,1,1,1,0,0.023,6c33bef232420cab1c03b9da67b8e2cd6680b13cec99cacd12550a26f75e43c8
BennieAndTheJets-01.mid,accepted,yes,279.7,1,1,1,0,0.121,99d9bb4c918b8a14735a28407eebbf70da61ae4c5a0764e909d74fe018b3b49c
Beyond the Heart-01.mid,accepted,yes,331.4,4,1,4,4,0.41,ff0523ba93bec62fc80f68323332b86041c7f89dd30e26bf89a43760b5253206
Beyond-01.mid,accepted,yes,204.1,2,1,4,0,0.573,d58448f773f9249195ad6dc129dda9f869124ae5f30df4f781e9fa9c7c2affb6
Black Knife-01.mid,accepted,no,116.8,1,1,0,8,0.0,be3c74ee2650b52f8c5cc54802dbb1acce23630ec740c77f1afb75c7de87cbd7
blast-01.mid,accepted,no,828.5,6,0,0,11,0.0,aec5b964d96b6fe0ce849da93b2833b4932644741a261c018266831834497cff
BLUE MONDAY-01.mid,accepted,yes,454.7,3,1,1,0,0.033,d8f2ed71d1e95f359afbffde3165c5fb1e95d5321ed353b1ad113728976f9f6b
Breakcore-01.mid,accepted,yes,103.8,1,1,2,1,0.711,30f24a7f877b8c2bb053cd73e0f78c3efdabdd340ce8667b7a642c797c892477
Canon in D-01.mid,accepted,no,247.1,3,0,12,0,0.236,244eb8bf98a0b215bae69c43bc86768c46bf9111107787ff8404d8d912773839
Chariots of Fire-01.mid,accepted,no,204.7,0,0,0,5,0.0,13d5dd8a2747f7d86915c756c7387d5f733bb891251afe67ebb66583004ee58c
Cheerleader-01.mid,accepted,no,235.9,2,1,0,11,0.0,97110552f7780e7aa0dc8c2e156ddd07349351789614ec95fd9cb5de476010ee
Children-01.mid,accepted,yes,451.5,1,2,8,0,0.375,4e02960078d3c5b61b9d5bb08cab663abf169501059ac4f36340bfa3705bf3a4
Christ Cometh to my House and Eats All of my Food-01.mid,accepted,no,276.0,0,2,0,0,0.268,cedbae6903f08b6d6caf0cf495420e1463991d0cd257982f35e5f1df8934314a
